cluster	total	basal	luminal	animal12	animal15	animal16	animal7	animal8	animal9
cluster0	2153	2145	8	53	32	37	481	923	627
cluster1	1949	1944	5	411	226	145	492	371	304
cluster2	1948	1941	7	731	456	635	45	75	6
cluster3	1887	1884	3	42	18	7	835	755	230
cluster4	1830	29	1801	374	334	260	239	207	416
cluster5	1648	8	1640	485	308	361	119	214	161
cluster6	1488	22	1466	280	347	240	196	113	312
cluster7	1389	1383	6	518	385	389	41	49	7
cluster8	1330	14	1316	251	126	130	297	351	175
cluster9	541	2	539	136	84	131	28	119	43
cluster10	483	481	2	116	75	59	73	82	78
cluster11	95	4	91	30	23	7	22	5	8
cluster12	56	56	0	18	8	4	16	6	4
cluster13	50	47	3	12	14	13	9	2	0
cluster14	32	6	26	6	4	6	9	5	2
