cluster	basal	luminal	animal12	animal15	animal16	animal7	animal8	animal9
cluster0	0.996	0.004	0.025	0.015	0.017	0.223	0.429	0.291
cluster1	0.997	0.003	0.211	0.116	0.074	0.252	0.19	0.156
cluster2	0.996	0.004	0.375	0.234	0.326	0.023	0.039	0.003
cluster3	0.998	0.002	0.022	0.01	0.004	0.443	0.4	0.122
cluster4	0.016	0.984	0.204	0.183	0.142	0.131	0.113	0.227
cluster5	0.005	0.995	0.294	0.187	0.219	0.072	0.13	0.098
cluster6	0.015	0.985	0.188	0.233	0.161	0.132	0.076	0.21
cluster7	0.996	0.004	0.373	0.277	0.28	0.03	0.035	0.005
cluster8	0.011	0.989	0.189	0.095	0.098	0.223	0.264	0.132
cluster9	0.004	0.996	0.251	0.155	0.242	0.052	0.22	0.079
cluster10	0.996	0.004	0.24	0.155	0.122	0.151	0.17	0.161
cluster11	0.042	0.958	0.316	0.242	0.074	0.232	0.053	0.084
cluster12	1	0	0.321	0.143	0.071	0.286	0.107	0.071
cluster13	0.94	0.06	0.24	0.28	0.26	0.18	0.04	0
cluster14	0.188	0.812	0.188	0.125	0.188	0.281	0.156	0.062
