	Gene Symbol	CD44+ N37	CD44+ N39	CD44+ N40	CD44+ N105	CD44+ N171	CD44+ N174	t-value	q-value	p-value	PseudoFC
1	MMP12	12.34294	11.169121	10.857383	1.661149	2.265287	2.921909	-2.408034216	4.35E-02	7.83E-05	-586.6006309
2	MMP3	14.466518	12.539371	11.057619	1.661149	6.640994	3.676349	-1.746023977	4.35E-02	6.57E-04	-465.624075
3	MMP1	15.939572	12.046399	9.4756	1.661149	4.131418	4.790662	-1.679174554	4.35E-02	8.27E-04	-241.3496561
4	SCRIB	10.942337	11.150732	10.697557	1.661149	3.134528	5.106393	-1.801281324	4.35E-02	5.55E-04	-224.0705541
5	NCS1	11.897918	12.105617	11.809525	4.894482	4.131418	4.146207	-2.158869699	4.35E-02	1.46E-04	-204.8049473
6	PI4K2A	12.905327	13.400383	14.195167	5.320955	6.640994	6.69026	-1.909491761	4.35E-02	3.44E-04	-181.6360591
7	PXDC1	13.835783	13.389565	14.655065	5.579836	6.549959	7.152205	-1.97287208	4.35E-02	2.55E-04	-181.3785395
8	KLC2	10.734196	10.78119	10.402199	1.661149	4.539173	3.630092	-1.80152759	4.35E-02	5.48E-04	-137.5778808
9	TRIM8	12.178907	11.176132	12.577282	5.095353	5.509998	5.106393	-1.837758629	4.35E-02	4.66E-04	-134.1110566
10	TEAD4	8.720278	9.663198	9.410896	1.661149	2.265287	4.476242	-1.565151516	4.35E-02	1.24E-03	-133.3551204
11	C8orf82	10.177104	9.651173	8.685452	1.661149	2.265287	3.630092	-1.765416053	4.35E-02	6.23E-04	-130.174528
12	SNX8	10.205806	9.71803	8.889197	1.661149	5.165949	2.921909	-1.469750014	4.35E-02	1.73E-03	-111.131302
13	RTN4RL2	8.78396	8.509169	9.601371	1.661149	2.265287	2.921909	-1.796707132	4.35E-02	5.61E-04	-102.4987363
14	KRBA1	9.525286	9.686953	8.355951	1.661149	3.134528	2.921909	-1.718073711	4.35E-02	6.91E-04	-97.23318603
15	G6PD	13.572807	12.935748	12.358515	4.894482	6.373501	7.668215	-1.61893407	4.35E-02	1.03E-03	-94.50029597
16	PPP1R18	13.531403	13.587389	15.153047	6.544171	8.350533	8.622681	-1.535851454	4.35E-02	1.40E-03	-92.43491901
17	DEXI	13.103459	13.16024	12.764217	5.728038	6.640994	7.611911	-1.676603098	4.35E-02	8.34E-04	-88.18520104
18	PTPN23	12.940685	13.016869	12.113109	5.252045	6.549959	7.291822	-1.625433235	4.35E-02	1.01E-03	-83.90736359
19	ST6GALNAC4	11.577872	10.256915	9.499733	1.661149	5.306419	4.476242	-1.477261866	4.35E-02	1.69E-03	-77.24943366
20	LOC493754	12.591076	13.027374	13.636057	6.395481	7.989035	6.69026	-1.592726357	4.35E-02	1.15E-03	-73.29259511
21	NELF	11.295428	11.542304	10.817617	1.661149	5.936219	5.106393	-1.533219697	4.35E-02	1.41E-03	-72.96003906
22	PLAU	13.422512	12.862886	11.047831	1.661149	7.292524	7.152205	-1.356315118	4.35E-02	3.00E-03	-70.03420822
23	TGFB1I1	13.445669	13.29161	12.446815	4.802615	7.191402	8.456743	-1.437336263	4.35E-02	2.05E-03	-68.60337821
24	PARP10	10.24153	9.67116	10.862976	1.661149	5.920411	4.146207	-1.407416702	4.35E-02	2.35E-03	-68.37146334
25	BCAN	8.683645	7.74172	8.859664	1.661149	2.265287	2.921909	-1.646719651	4.35E-02	9.42E-04	-67.67595767
26	MSC	11.353718	9.342669	10.301457	4.341916	3.134528	6.129407	-1.356099743	4.35E-02	3.01E-03	-62.23007221
27	TNFRSF1B	12.961491	13.21675	13.609133	7.30543	6.373501	8.719135	-1.472508512	4.35E-02	1.72E-03	-60.18446343
28	ITGB5	14.842401	14.590751	13.301169	7.394225	8.436733	9.995819	-1.366904937	4.35E-02	2.86E-03	-60.002217
29	ADRA2C	11.941236	8.848046	8.151795	4.341916	2.265287	5.882028	-1.143524541	4.35E-02	7.01E-03	-59.15827153
30	SMURF1	13.205502	13.492287	13.395192	7.531061	7.25505	8.636861	-1.518408267	4.35E-02	1.49E-03	-58.24779733
31	RNF26	10.268991	9.634981	9.415978	5.705318	3.571326	3.630092	-1.376047641	4.35E-02	2.76E-03	-57.46658578
32	PDLIM4	12.788139	14.182623	12.679069	6.857154	7.56803	8.269212	-1.463502373	4.35E-02	1.79E-03	-56.56801751
33	SLC34A2	8.5104	11.827879	7.4423	1.661149	3.571326	4.476242	-1.258017636	4.35E-02	4.50E-03	-54.99206125
34	S100A7	7.918838	8.684606	7.462086	1.661149	2.265287	2.921909	-1.535053407	4.35E-02	1.41E-03	-54.29311465
35	ZC3H3	9.363321	9.538176	8.874506	1.661149	4.539173	3.630092	-1.458519677	4.35E-02	1.84E-03	-53.19539178
36	EDNRB	16.024278	14.320468	14.511564	7.918071	9.680925	10.306444	-1.369959472	4.35E-02	2.83E-03	-52.63071575
37	TMEM150A	10.581282	10.064799	10.420013	4.718672	4.131418	5.426231	-1.540384415	4.35E-02	1.38E-03	-52.03248383
38	ABL1	13.422234	12.980487	13.207566	6.244586	7.53715	8.374509	-1.506656192	4.35E-02	1.55E-03	-50.92899856
39	ARF1	16.051263	15.850516	15.232693	9.873821	10.434198	9.562759	-1.605830256	4.35E-02	1.09E-03	-50.91201485
40	PRICKLE3	8.705736	8.962765	9.272072	1.661149	3.571326	3.630092	-1.54664631	4.35E-02	1.32E-03	-49.935035
41	GSC	9.237547	7.494953	8.553333	1.661149	3.571326	3.630092	-1.351460142	4.35E-02	3.07E-03	-48.75422278
42	NAP1L4	12.722389	13.45184	13.090879	6.857154	7.505595	8.929599	-1.373536741	4.35E-02	2.79E-03	-48.01070264
43	FST	13.420009	13.268836	11.534938	6.339437	6.640994	7.897492	-1.445737051	4.35E-02	1.99E-03	-45.96670366
44	CSK	11.025194	11.073236	10.452524	1.661149	5.509998	6.649696	-1.314023	4.35E-02	3.65E-03	-45.73401893
45	RECQL4	6.792865	7.726519	8.553333	1.661149	2.265287	2.921909	-1.403093335	4.35E-02	2.41E-03	-44.05494592
46	C11orf84	10.66635	8.644729	11.819147	5.252045	4.797798	5.426231	-1.249683431	4.35E-02	4.64E-03	-42.64502612
47	FOSL1	11.796921	12.737687	11.624364	6.550689	6.237456	6.385515	-1.578582579	4.35E-02	1.20E-03	-42.5594008
48	OPLAH	9.344671	9.075043	8.767255	5.026959	3.134528	3.676349	-1.340798956	4.35E-02	3.23E-03	-42.18604746
49	ACOT7	10.286197	11.331154	11.252009	4.894482	5.509998	7.352555	-1.24679747	4.35E-02	4.71E-03	-41.98246996
50	CYB5R2	10.192831	10.465868	9.021769	4.739845	6.205902	3.676349	-1.22853843	4.35E-02	5.01E-03	-40.6566729
51	CSNK2A1P	11.263514	11.477946	10.994478	1.661149	5.920411	6.618407	-1.361038187	4.35E-02	2.95E-03	-40.59144864
52	MFSD7	9.296962	9.007473	8.506461	1.661149	4.797798	3.676349	-1.331296213	4.35E-02	3.37E-03	-40.25576082
53	ANAPC2	8.959701	7.87177	8.967426	5.252045	2.265287	3.630092	-1.172340152	4.35E-02	6.35E-03	-40.21352716
54	CTU2	9.272502	9.291936	8.896486	4.739845	3.571326	3.676349	-1.423300168	4.35E-02	2.19E-03	-40.08971128
55	PRRC2A	11.946657	12.217905	12.080677	4.718672	6.774676	7.327219	-1.442498163	4.35E-02	2.00E-03	-39.56084343
56	TNFRSF4	10.70342	9.803819	11.231979	4.739845	5.936219	5.091834	-1.40968292	4.35E-02	2.31E-03	-39.28100822
57	MAP7D1	13.436616	14.192165	13.634968	8.361545	8.033973	9.628105	-1.349231338	4.35E-02	3.10E-03	-38.67748926
58	PPP1R14B	13.46846	13.959023	12.774145	8.139755	8.055928	8.692228	-1.407572375	4.35E-02	2.34E-03	-38.5002184
59	CCT2	14.53752	15.45363	14.74438	9.4931	9.666725	9.303041	-1.538505871	4.35E-02	1.38E-03	-38.08842211
60	ERLIN1	11.704864	11.23506	11.748393	1.661149	7.094585	6.455366	-1.311211592	4.35E-02	3.71E-03	-38.04139106
61	SDF4	12.606325	12.242159	11.568413	6.339437	7.138979	7.255535	-1.433115184	4.35E-02	2.11E-03	-37.50406544
62	PVRL1	8.129608	9.767145	10.27653	1.661149	5.936219	4.562324	-1.148962222	4.35E-02	6.89E-03	-36.88137962
63	CNTFR	7.893399	7.08238	8.334642	1.661149	3.134528	2.921909	-1.361643045	4.35E-02	2.94E-03	-36.76125981
64	TNFRSF12A	11.133737	13.199649	12.063779	8.087444	5.936219	6.195186	-1.304907735	4.35E-02	3.81E-03	-36.69515947
65	NCOR2	11.08119	10.368847	11.361418	4.739845	5.920411	7.020304	-1.27663494	4.35E-02	4.22E-03	-35.77252063
66	SLC39A13	11.708516	11.855218	11.378439	1.661149	6.549959	7.020304	-1.327805815	4.35E-02	3.44E-03	-35.71742924
