	Gene Symbol	CD44+ N37	CD44+ N39	CD44+ N40	CD44+ N105	CD44+ N171	CD44+ N174	t-value	q-value	p-value	PseudoFC
1	HSPA1A	2.993831	4.736586	7.997641	15.436302	17.228905	14.991147	2.19567994	4.35E-02	1.19E-04	1663.164892
2	HNRNPA1	3.024504	2.023048	2.165421	12.868252	11.558239	9.620989	2.118243596	4.35E-02	1.74E-04	672.2332477
3	LOC642361	1.874444	2.023048	2.995681	12.171937	11.778929	8.745549	1.969434006	4.35E-02	2.62E-04	578.5332207
4	ID2B	1.874444	2.023048	2.165421	11.549452	11.016091	9.303041	2.198930945	4.35E-02	1.12E-04	509.5369524
5	RPS29	4.309025	5.362142	6.282905	15.630577	14.101923	11.48514	1.84392888	4.35E-02	4.46E-04	427.4999894
6	MAGEB10	3.024504	2.023048	2.165421	10.746803	11.544714	11.312574	2.429149475	4.35E-02	7.15E-05	422.777762
7	CENPH	4.743564	3.770995	2.165421	11.697868	12.808177	12.484916	2.165594943	4.35E-02	1.40E-04	419.9055175
8	KRT18	1.874444	3.872014	2.165421	12.37654	10.68376	8.213534	1.696996829	4.35E-02	7.79E-04	363.1762985
9	RPL27A	5.779429	5.148082	6.670675	14.585927	14.09133	13.791736	2.223955537	4.35E-02	9.87E-05	317.7835144
10	RAD21-AS1	1.874444	2.406905	2.165421	10.093095	11.437977	10.400875	2.318523081	4.35E-02	8.51E-05	301.3830562
11	RPLP1	6.52121	6.072636	6.527811	15.605413	14.755565	13.685741	2.183840284	4.35E-02	1.26E-04	301.1534971
12	USP33	5.982974	3.360637	3.764125	11.54461	12.544527	12.777496	1.918655981	4.35E-02	3.23E-04	290.8179694
13	AKR1D1	2.993831	3.770995	3.935222	10.369894	11.909787	12.782289	2.034393168	4.35E-02	2.28E-04	281.8516744
14	FAM83A	1.874444	2.023048	2.165421	8.723321	10.074256	10.27958	2.059799803	4.35E-02	2.14E-04	265.2498231
15	BMP3	3.350997	3.360637	3.764125	11.047646	11.800225	11.713056	2.291911149	4.35E-02	9.19E-05	262.4866963
16	ATPIF1	3.024504	2.023048	2.379345	11.378567	10.365525	9.018932	1.958064245	4.35E-02	2.89E-04	253.5595079
17	APEX1	2.201691	2.023048	2.165421	10.608241	10.137404	9.008063	2.100883422	4.35E-02	2.01E-04	251.0765437
18	NDUFB9	3.024504	2.406905	2.165421	10.632786	10.329923	10.117111	2.220381039	4.35E-02	1.05E-04	242.6979432
19	EEF1B2	5.658609	3.872014	4.508334	13.773392	12.408206	11.469377	1.93003145	4.35E-02	3.03E-04	238.8353675
20	COX6A1	2.201691	2.023048	2.165421	11.38219	10.002574	9.363984	2.12160288	4.35E-02	1.67E-04	228.6747402
21	AZGP1	3.024504	5.43468	2.165421	13.636724	9.985514	10.157018	1.618309973	4.35E-02	1.04E-03	225.9865268
22	NGFRAP1	2.201691	2.809601	2.165421	10.283397	10.622543	8.894619	1.985894212	4.35E-02	2.48E-04	224.8691195
23	RPL5	4.682076	4.911517	6.450701	13.291304	12.849623	12.462199	1.961424091	4.35E-02	2.76E-04	219.8114179
24	F5	4.743564	4.389936	5.389265	12.155091	13.106596	13.021304	2.169345983	4.35E-02	1.33E-04	217.5426617
25	TRMT5	2.993831	2.406905	3.324375	11.841672	10.735699	9.462817	1.959177502	4.35E-02	2.82E-04	214.0595634
26	IFNG	1.874444	2.023048	2.165421	9.904384	7.870158	9.737435	1.839643425	4.35E-02	4.53E-04	210.0206014
27	MRFAP1	1.874444	2.023048	2.165421	11.655074	9.708913	7.03218	1.628363209	4.35E-02	1.00E-03	205.9092748
28	NDUFB4	5.304463	2.406905	2.165421	10.207812	9.979782	10.070856	1.602438669	4.35E-02	1.11E-03	202.805178
29	RPS15AP10	1.874444	2.406905	2.165421	10.522177	9.179013	9.801784	2.107597589	4.35E-02	1.87E-04	198.9640087
30	TMEM66	3.819732	3.770995	4.508334	12.465486	11.429592	10.913082	2.021922072	4.35E-02	2.35E-04	195.3421233
31	CRIP1	1.874444	2.023048	2.165421	9.513069	9.392516	10.769222	2.140409416	4.35E-02	1.53E-04	183.3012252
32	VKORC1	2.201691	2.023048	2.165421	9.212855	9.578459	10.233665	2.135818569	4.35E-02	1.60E-04	170.4303269
33	ANP32A-IT1	2.993831	2.023048	2.165421	10.088666	10.391662	8.488368	1.865657143	4.35E-02	4.12E-04	168.643307
34	GADD45A	2.201691	4.413323	3.324375	11.590755	10.573912	10.648433	1.931996026	4.35E-02	2.96E-04	160.2363742
35	TPT1	7.317579	7.598777	8.345336	15.666962	14.875403	13.24435	1.708125641	4.35E-02	7.45E-04	155.053927
36	COX6C	1.874444	2.023048	4.449894	11.326854	10.479583	9.143346	1.76102932	4.35E-02	6.36E-04	154.2260542
37	ORC4	5.658609	6.270596	4.724406	12.49758	13.536158	12.87419	1.966892101	4.35E-02	2.69E-04	153.869353
38	ATP5C1	2.201691	3.872014	2.165421	10.413045	9.847551	9.430619	1.852589825	4.35E-02	4.39E-04	153.8305556
39	RPL23AP32	3.819732	5.43468	5.544653	13.203909	12.609999	11.083256	1.809158235	4.35E-02	5.27E-04	153.6520772
40	PLAC9	1.874444	2.406905	2.165421	9.111713	9.570854	9.540302	2.10842088	4.35E-02	1.80E-04	150.8812505
41	LECT2	1.874444	2.023048	2.165421	9.137671	9.866312	9.092804	2.102414855	4.35E-02	1.94E-04	148.9165857
42	FOS	7.906175	8.359538	9.485302	15.43434	15.772014	15.526973	1.885638086	4.35E-02	3.78E-04	143.7517704
43	SHFM1	1.874444	2.406905	2.165421	10.061802	9.294336	9.018932	2.043479395	4.35E-02	2.21E-04	141.4833514
44	ERH	2.993831	2.023048	2.165421	10.132356	9.615895	8.705744	1.8936896	4.35E-02	3.57E-04	140.8997425
45	GAS5	5.263699	4.830496	5.723602	13.152318	12.400718	11.714728	1.923211748	4.35E-02	3.16E-04	140.7527401
46	SEC61B	1.874444	2.023048	2.165421	9.359771	9.148683	8.11568	1.892002869	4.35E-02	3.64E-04	139.6464222
47	SH3BGRL	2.993831	3.770995	3.90836	12.125128	10.893407	10.033825	1.913051187	4.35E-02	3.30E-04	139.3348421
48	RPL22L1	3.024504	2.023048	2.165421	10.128046	9.303543	6.942983	1.508761265	4.35E-02	1.53E-03	137.5242179
49	COX5B	4.209882	2.406905	2.379345	9.615142	9.563208	9.446808	1.705369901	4.35E-02	7.52E-04	134.1276716
50	KLHDC2	1.874444	2.023048	2.165421	9.299725	9.086038	8.771488	2.065680981	4.35E-02	2.08E-04	133.7125125
51	MAGED1	1.874444	2.023048	2.165421	9.698891	9.075328	4.790662	1.222033132	4.35E-02	5.16E-03	132.7235295
52	PNN	3.024504	2.023048	3.764125	10.906311	10.068866	7.825039	1.557414287	4.35E-02	1.27E-03	131.9970759
53	LOC100506023	5.753024	5.487673	5.544653	11.096994	12.920903	12.58796	1.740666913	4.35E-02	6.63E-04	131.9005109
54	NSA2	3.024504	4.389936	4.285996	11.410858	11.142043	10.561895	1.91147922	4.35E-02	3.37E-04	129.8697361
55	DKFZP586I1420	1.874444	2.023048	2.165421	9.4931	9.042712	7.825039	1.811855658	4.35E-02	5.14E-04	129.7565838
56	ALS2CR11	1.874444	2.023048	2.165421	8.190235	10.019435	9.040427	1.876227772	4.35E-02	3.98E-04	129.5512648
57	SYTL2	2.201691	2.406905	2.995681	10.384422	8.564762	9.389334	1.815733438	4.35E-02	5.00E-04	126.4505035
58	NPM1	4.263463	5.297868	5.571599	13.009671	12.277642	11.085843	1.807635518	4.35E-02	5.34E-04	126.2179859
59	HNRPDL	5.335413	5.661685	5.723602	13.207998	12.615554	10.648433	1.641044066	4.35E-02	9.70E-04	123.9718851
60	NUDT4P1	1.874444	2.023048	3.90836	9.102956	9.075328	8.822008	1.644886848	4.35E-02	9.56E-04	123.4313424
61	GBP4	2.993831	4.389936	3.90836	9.929368	11.33847	10.176565	1.755743811	4.35E-02	6.43E-04	122.4065158
62	EIF4E	5.779429	6.184248	6.072169	11.889562	13.117078	13.048081	1.830671756	4.35E-02	4.80E-04	122.177064
63	CCDC53	2.201691	2.023048	2.165421	8.254907	9.064538	9.211256	1.901119239	4.35E-02	3.50E-04	119.3551415
64	REXO1L1	1.874444	2.023048	2.165421	6.954147	8.892178	9.220702	1.607322078	4.35E-02	1.08E-03	116.8998888
65	HSPA2	2.201691	2.023048	2.165421	8.222933	9.031674	9.276113	1.890116728	4.35E-02	3.71E-04	116.6670084
66	HSPA1B	6.054828	7.476899	10.290431	12.905242	16.251649	15.72644	1.447420164	4.35E-02	1.96E-03	115.393179
67	S100A4	2.993831	2.023048	2.165421	9.81605	9.540026	8.858771	1.923729909	4.35E-02	3.10E-04	114.2240591
68	HSP90AB2P	5.856559	3.872014	4.285996	10.686531	11.745539	11.813235	1.713727119	4.35E-02	7.11E-04	112.5574067
69	ODF2L	2.201691	2.023048	2.379345	9.012327	9.20872	8.79697	2.009494261	4.35E-02	2.42E-04	112.2550355
70	ALPK1	4.263463	3.872014	5.217616	10.955788	11.905258	11.065018	1.839164445	4.35E-02	4.59E-04	111.5506182
71	HTRA1	2.993831	2.809601	3.90836	7.36523	10.697795	10.166824	1.429785882	4.35E-02	2.15E-03	110.6174257
72	SCP2	1.874444	3.770995	2.165421	11.063531	8.951948	7.327219	1.459462552	4.35E-02	1.82E-03	110.3947184
73	RNF130	2.993831	2.406905	4.285996	9.645614	9.76331	9.984774	1.731917012	4.35E-02	6.84E-04	109.097839
74	RGS2	3.024504	2.406905	4.754917	11.332484	10.084974	9.172843	1.630971596	4.35E-02	9.83E-04	108.8304071
75	NANS	1.874444	2.809601	2.165421	10.564256	8.63937	8.66481	1.785611204	4.35E-02	5.82E-04	108.7541616
76	C2orf40	4.209882	6.466258	3.90836	10.896209	11.076418	10.871709	1.507074711	4.35E-02	1.54E-03	102.9875918
77	NUDT16P1	2.201691	2.406905	4.285996	8.875048	10.655275	10.42967	1.713972761	4.35E-02	7.04E-04	102.0659385
78	ID2	1.874444	2.023048	2.165421	9.565008	8.140553	8.692228	1.855985231	4.35E-02	4.25E-04	101.7708428
79	WBP5	2.993831	4.750708	3.935222	9.832037	10.666023	10.594958	1.701778978	4.35E-02	7.66E-04	101.1067993
80	SCGB2A2	1.874444	3.32135	2.165421	15.276814	8.817023	6.32627	1.295621129	4.35E-02	4.00E-03	100.5383317
81	FAM111B	3.839948	2.023048	2.165421	8.801178	9.944904	8.678584	1.641725993	4.35E-02	9.63E-04	99.44021447
